Day of Year,Year of Period End,Period Begin,Period End,adjusted_average_homes_sold,adjusted_average_homes_sold_yoy,Average Homes Sold Yoy (tooltip)
2,2022,12/6/2021,1/2/2022,"1,879",-0.026929052,-2.7%
3,2021,12/7/2020,1/3/2021,"1,931",0.245003224,24.5%
5,2020,12/9/2019,1/5/2020,"1,551",0.11663067,11.7%
6,2019,12/10/2018,1/6/2019,"1,389",-0.095703125,-9.6%
9,2022,12/13/2021,1/9/2022,"1,796",-0.036480687,-3.6%
10,2021,12/14/2020,1/10/2021,"1,864",0.281099656,28.1%
12,2020,12/16/2019,1/12/2020,"1,455",0.139389193,13.9%
13,2019,12/17/2018,1/13/2019,"1,277",-0.085243553,-8.5%
16,2022,12/20/2021,1/16/2022,"1,680",-0.024956471,-2.5%
17,2021,12/21/2020,1/17/2021,"1,723",0.308276386,30.8%
19,2020,12/23/2019,1/19/2020,"1,317",0.128534704,12.9%
20,2019,12/24/2018,1/20/2019,"1,167",-0.101616628,-10.2%
23,2022,12/27/2021,1/23/2022,"1,606",-0.065735893,-6.6%
24,2021,12/28/2020,1/24/2021,"1,719",0.279970216,28.0%
26,2020,12/30/2019,1/26/2020,"1,343",0.20990991,21.0%
27,2019,12/31/2018,1/27/2019,"1,110",-0.07960199,-8.0%
30,2022,1/3/2022,1/30/2022,"1,518",-0.12858783,-12.9%
31,2021,1/4/2021,1/31/2021,"1,742",0.20137931,20.1%
33,2020,1/6/2020,2/2/2020,"1,450",0.174089069,17.4%
34,2019,1/7/2019,2/3/2019,"1,235",-0.109589041,-11.0%
37,2022,1/10/2022,2/6/2022,"1,548",-0.079119572,-7.9%
38,2021,1/11/2021,2/7/2021,"1,681",0.165742025,16.6%
40,2020,1/13/2020,2/9/2020,"1,442",0.168557536,16.9%
41,2019,1/14/2019,2/10/2019,"1,234",-0.112230216,-11.2%
44,2022,1/17/2022,2/13/2022,"1,552",-0.059393939,-5.9%
45,2021,1/18/2021,2/14/2021,"1,650",0.1,10.0%
47,2020,1/20/2020,2/16/2020,"1,500",0.142421935,14.2%
48,2019,1/21/2019,2/17/2019,"1,313",-0.115824916,-11.6%
51,2022,1/24/2022,2/20/2022,"1,687",-0.024855491,-2.5%
52,2021,1/25/2021,2/21/2021,"1,730",0.058103976,5.8%
54,2020,1/27/2020,2/23/2020,"1,635",0.144156753,14.4%
55,2019,1/28/2019,2/24/2019,"1,429",-0.092698413,-9.3%
58,2022,1/31/2022,2/27/2022,"1,794",-0.049788136,-5.0%
59,2021,2/1/2021,2/28/2021,"1,888",0.042517946,4.3%
61,2020,2/3/2020,3/1/2020,"1,811",0.104268293,10.4%
62,2019,2/4/2019,3/3/2019,"1,640",-0.086859688,-8.7%
65,2022,2/7/2022,3/6/2022,"2,012",-0.023774867,-2.4%
66,2021,2/8/2021,3/7/2021,"2,061",0.070093458,7.0%
68,2020,2/10/2020,3/8/2020,"1,926",0.089366516,8.9%
69,2019,2/11/2019,3/10/2019,"1,768",-0.089598352,-9.0%
72,2022,2/14/2022,3/13/2022,"2,078",-0.018885741,-1.9%
73,2021,2/15/2021,3/14/2021,"2,118",0.083375959,8.3%
75,2020,2/17/2020,3/15/2020,"1,955",0.067722556,6.8%
76,2019,2/18/2019,3/17/2019,"1,831",-0.095355731,-9.5%
79,2022,2/21/2022,3/20/2022,"2,102",-0.04411096,-4.4%
80,2021,2/22/2021,3/21/2021,"2,199",0.0995,9.9%
82,2020,2/24/2020,3/22/2020,"2,000",0.042209484,4.2%
83,2019,2/25/2019,3/24/2019,"1,919",-0.087059943,-8.7%
86,2022,2/28/2022,3/27/2022,"2,090",0.026522593,2.7%
87,2021,3/1/2021,3/28/2021,"2,036",0.092860977,9.3%
89,2020,3/2/2020,3/29/2020,"1,863",-0.051425662,-5.1%
90,2019,3/4/2019,3/31/2019,"1,964",-0.082242991,-8.2%
93,2022,3/7/2022,4/3/2022,"2,045",-0.029425724,-2.9%
94,2021,3/8/2021,4/4/2021,"2,107",0.088326446,8.8%
96,2020,3/9/2020,4/5/2020,"1,936",-0.019746835,-2.0%
97,2019,3/11/2019,4/7/2019,"1,975",-0.049566891,-5.0%
100,2022,3/14/2022,4/10/2022,"2,030",-0.037001898,-3.7%
101,2021,3/15/2021,4/11/2021,"2,108",0.15380405,15.4%
103,2020,3/16/2020,4/12/2020,"1,827",-0.070701933,-7.1%
104,2019,3/18/2019,4/14/2019,"1,966",-0.035801864,-3.6%
107,2022,3/21/2022,4/17/2022,"2,030",-0.043355325,-4.3%
108,2021,3/22/2021,4/18/2021,"2,122",0.21395881,21.4%
110,2020,3/23/2020,4/19/2020,"1,748",-0.149805447,-15.0%
111,2019,3/25/2019,4/21/2019,"2,056",-0.017677974,-1.8%
114,2022,3/28/2022,4/24/2022,"2,046",-0.042134831,-4.2%
115,2021,3/29/2021,4/25/2021,"2,136",0.339184953,33.9%
117,2020,3/30/2020,4/26/2020,"1,595",-0.181631606,-18.2%
118,2019,4/1/2019,4/28/2019,"1,949",-0.004596527,-0.5%
121,2022,4/4/2022,5/1/2022,"2,078",-0.049405306,-4.9%
122,2021,4/5/2021,5/2/2021,"2,186",0.414886731,41.5%
124,2020,4/6/2020,5/3/2020,"1,545",-0.301852689,-30.2%
125,2019,4/8/2019,5/5/2019,"2,213",0.013278388,1.3%
128,2022,4/11/2022,5/8/2022,"2,083",-0.059593679,-6.0%
129,2021,4/12/2021,5/9/2021,"2,215",0.463011889,46.3%
131,2020,4/13/2020,5/10/2020,"1,514",-0.326811916,-32.7%
132,2019,4/15/2019,5/12/2019,"2,249",0.031651376,3.2%
135,2022,4/18/2022,5/15/2022,"2,024",-0.081252837,-8.1%
136,2021,4/19/2021,5/16/2021,"2,203",0.480510753,48.1%
138,2020,4/20/2020,5/17/2020,"1,488",-0.348226018,-34.8%
139,2019,4/22/2019,5/19/2019,"2,283",0.037727273,3.8%
142,2022,4/25/2022,5/22/2022,"1,982",-0.114387846,-11.4%
143,2021,4/26/2021,5/23/2021,"2,238",0.434615385,43.5%
145,2020,4/27/2020,5/24/2020,"1,560",-0.323210412,-32.3%
146,2019,4/29/2019,5/26/2019,"2,305",0.054437328,5.4%
149,2022,5/2/2022,5/29/2022,"1,865",-0.164051995,-16.4%
150,2021,5/3/2021,5/30/2021,"2,231",0.413814956,41.4%
152,2020,5/4/2020,5/31/2020,"1,578",-0.308804205,-30.9%
153,2019,5/6/2019,6/2/2019,"2,283",0.039617486,4.0%
156,2022,5/9/2022,6/5/2022,"1,881",-0.148868778,-14.9%
157,2021,5/10/2021,6/6/2021,"2,210",0.335347432,33.5%
159,2020,5/11/2020,6/7/2020,"1,655",-0.280121792,-28.0%
160,2019,5/13/2019,6/9/2019,"2,299",0.051692589,5.2%
163,2022,5/16/2022,6/12/2022,"1,841",-0.14965358,-15.0%
164,2021,5/17/2021,6/13/2021,"2,165",0.247119816,24.7%
166,2020,5/18/2020,6/14/2020,"1,736",-0.233892321,-23.4%
167,2019,5/20/2019,6/16/2019,"2,266",0.051508121,5.2%
170,2022,5/23/2022,6/19/2022,"1,832",-0.152636448,-15.3%
171,2021,5/24/2021,6/20/2021,"2,162",0.17436176,17.4%
173,2020,5/25/2020,6/21/2020,"1,841",-0.169972949,-17.0%
174,2019,5/27/2019,6/23/2019,"2,218",0.066859067,6.7%
177,2022,5/30/2022,6/26/2022,"1,679",-0.162175649,-16.2%
178,2021,5/31/2021,6/27/2021,"2,004",0.0688,6.9%
180,2020,6/1/2020,6/28/2020,"1,875",-0.183717893,-18.4%
181,2019,6/3/2019,6/30/2019,"2,297",0.076382381,7.6%
184,2022,6/6/2022,7/3/2022,"1,733",-0.189808322,-19.0%
185,2021,6/7/2021,7/4/2021,"2,139",0.007536505,0.8%
187,2020,6/8/2020,7/5/2020,"2,123",-0.017584452,-1.8%
188,2019,6/10/2019,7/7/2019,"2,161",0.07086224,7.1%
191,2022,6/13/2022,7/10/2022,"1,617",-0.215429403,-21.5%
192,2021,6/14/2021,7/11/2021,"2,061",-0.048476454,-4.8%
194,2020,6/15/2020,7/12/2020,"2,166",0.026054003,2.6%
195,2019,6/17/2019,7/14/2019,"2,111",0.079243354,7.9%
198,2022,6/20/2022,7/17/2022,"1,516",-0.24764268,-24.8%
199,2021,6/21/2021,7/18/2021,"2,015",-0.089059675,-8.9%
201,2020,6/22/2020,7/19/2020,"2,212",0.058373206,5.8%
202,2019,6/24/2019,7/21/2019,"2,090",0.051307847,5.1%
205,2022,6/27/2022,7/24/2022,"1,483",-0.245292621,-24.5%
206,2021,6/28/2021,7/25/2021,"1,965",-0.112466125,-11.2%
208,2020,6/29/2020,7/26/2020,"2,214",0.211159737,21.1%
209,2019,7/1/2019,7/28/2019,"1,828",0.028700056,2.9%
212,2022,7/4/2022,7/31/2022,"1,339",-0.30224075,-30.2%
213,2021,7/5/2021,8/1/2021,"1,919",-0.137140288,-13.7%
215,2020,7/6/2020,8/2/2020,"2,224",0.069230769,6.9%
216,2019,7/8/2019,8/4/2019,"2,080",0.046277666,4.6%
219,2022,7/11/2022,8/7/2022,"1,322.292199485",-0.318757239,-31.9%
220,2021,7/12/2021,8/8/2021,"1,941",-0.109633028,-11.0%
222,2020,7/13/2020,8/9/2020,"2,180",0.068627451,6.9%
223,2019,7/15/2019,8/11/2019,"2,040",0.061394381,6.1%
226,2022,7/18/2022,8/14/2022,"1,264.047271092",-0.330483437,-33.0%
227,2021,7/19/2021,8/15/2021,"1,888",-0.090558767,-9.1%
229,2020,7/20/2020,8/16/2020,"2,076",0.032322228,3.2%
230,2019,7/22/2019,8/18/2019,"2,011",0.087614927,8.8%
233,2022,7/25/2022,8/21/2022,"1,260.908142963",-0.342934787,-34.3%
234,2021,7/26/2021,8/22/2021,"1,919",-0.061154599,-6.1%
236,2020,7/27/2020,8/23/2020,"2,044",0.046594982,4.7%
237,2019,7/29/2019,8/25/2019,"1,953",0.112820513,11.3%
240,2022,8/1/2022,8/28/2022,"1,170.214559565",-0.354186225,-35.4%
241,2021,8/2/2021,8/29/2021,"1,812",-0.063565891,-6.4%
243,2020,8/3/2020,8/30/2020,"1,935",-0.022233451,-2.2%
244,2019,8/5/2019,9/1/2019,"1,979",0.115558061,11.6%
248,2021,8/9/2021,9/5/2021,"1,972",-0.03804878,-3.8%
250,2020,8/10/2020,9/6/2020,"2,050",0.084656085,8.5%
251,2019,8/12/2019,9/8/2019,"1,890",0.103327496,10.3%
255,2021,8/16/2021,9/12/2021,"1,944",-0.016194332,-1.6%
257,2020,8/17/2020,9/13/2020,"1,976",0.07860262,7.9%
258,2019,8/19/2019,9/15/2019,"1,832",0.078281342,7.8%
262,2021,8/23/2021,9/19/2021,"1,990",-0.018253577,-1.8%
264,2020,8/24/2020,9/20/2020,"2,027",0.095083739,9.5%
265,2019,8/26/2019,9/22/2019,"1,851",0.08245614,8.2%
269,2021,8/30/2021,9/26/2021,"1,977",-0.009519038,-1.0%
271,2020,8/31/2020,9/27/2020,"1,996",0.155092593,15.5%
272,2019,9/2/2019,9/29/2019,"1,728",0.012302285,1.2%
276,2021,9/6/2021,10/3/2021,"2,031",-0.031473534,-3.1%
278,2020,9/7/2020,10/4/2020,"2,097",0.10310363,10.3%
279,2019,9/9/2019,10/6/2019,"1,901",0.099479468,9.9%
283,2021,9/13/2021,10/10/2021,"2,081",-0.047597254,-4.8%
285,2020,9/14/2020,10/11/2020,"2,185",0.176628971,17.7%
286,2019,9/16/2019,10/13/2019,"1,857",0.130249544,13.0%
290,2021,9/20/2021,10/17/2021,"2,033",-0.053538175,-5.4%
292,2020,9/21/2020,10/18/2020,"2,148",0.18871057,18.9%
293,2019,9/23/2019,10/20/2019,"1,807",0.112684729,11.3%
297,2021,9/27/2021,10/24/2021,"2,025",-0.048849225,-4.9%
299,2020,9/28/2020,10/25/2020,"2,129",0.249413146,24.9%
300,2019,9/30/2019,10/27/2019,"1,704",0.181692094,18.2%
304,2021,10/4/2021,10/31/2021,"1,946",-0.091503268,-9.2%
306,2020,10/5/2020,11/1/2020,"2,142",0.246073298,24.6%
307,2019,10/7/2019,11/3/2019,"1,719",0.094207511,9.4%
311,2021,10/11/2021,11/7/2021,"1,956",-0.079529412,-8.0%
313,2020,10/12/2020,11/8/2020,"2,125",0.217067583,21.7%
314,2019,10/14/2019,11/10/2019,"1,746",0.102272727,10.2%
318,2021,10/18/2021,11/14/2021,"1,899",-0.100852273,-10.1%
320,2020,10/19/2020,11/15/2020,"2,112",0.199318569,19.9%
321,2019,10/21/2019,11/17/2019,"1,761",0.126679463,12.7%
325,2021,10/25/2021,11/21/2021,"1,995",-0.100946372,-10.1%
327,2020,10/26/2020,11/22/2020,"2,219",0.232777778,23.3%
328,2019,10/28/2019,11/24/2019,"1,800",0.237113402,23.7%
332,2021,11/1/2021,11/28/2021,"1,778",-0.079710145,-8.0%
334,2020,11/2/2020,11/29/2020,"1,932",0.179487179,17.9%
335,2019,11/4/2019,12/1/2019,"1,638",0.109004739,10.9%
339,2021,11/8/2021,12/5/2021,"1,920",-0.095193214,-9.5%
341,2020,11/9/2020,12/6/2020,"2,122",0.253396338,25.3%
342,2019,11/11/2019,12/8/2019,"1,693",0.138533961,13.9%
346,2021,11/15/2021,12/12/2021,"1,977",-0.072701689,-7.3%
348,2020,11/16/2020,12/13/2020,"2,132",0.24824356,24.8%
349,2019,11/18/2019,12/15/2019,"1,708",0.125906394,12.6%
353,2021,11/22/2021,12/19/2021,"1,945",-0.085996241,-8.6%
355,2020,11/23/2020,12/20/2020,"2,128",0.210466439,21.0%
356,2019,11/25/2019,12/22/2019,"1,758",0.052064632,5.2%
360,2021,11/29/2021,12/26/2021,"2,024",-0.037565383,-3.8%
362,2020,11/30/2020,12/27/2020,"2,103",0.270694864,27.1%
363,2019,12/2/2019,12/29/2019,"1,655",0.133561644,13.4%